Gene	modularity_class	N-cluster	gephi_modularity_class
RNF181	4	N4	2
ROR1	4	N4	2
RXRA	4	N4	2
SAMSN1	4	N4	2
SCMH1	4	N4	2
SDHAF4	4	N4	2
SELENOM	4	N4	2
SENP8	4	N4	2
SGSM1	4	N4	2
SGTB	4	N4	2
SLC12A4	4	N4	2
SLC25A25	4	N4	2
SLC27A2	4	N4	2
SLC35B2	4	N4	2
SLC38A1	4	N4	2
SLC39A1	4	N4	2
SOX11	4	N4	2
SPN	4	N4	2
SRC	4	N4	2
TAGAP	4	N4	2
TCEA2	4	N4	2
TCEAL3	4	N4	2
TCEAL4	4	N4	2
TEX30	4	N4	2
TGFBR2	4	N4	2
TGIF1	4	N4	2
THRA	4	N4	2
TIFA	4	N4	2
TLE4	4	N4	2
TMA7	4	N4	2
TMEM159	4	N4	2
TMEM167B	4	N4	2
TRAF1	4	N4	2
TRAM2	4	N4	2
TSPYL2	4	N4	2
TTC28	4	N4	2
TUBB2A	4	N4	2
TYMP	4	N4	2
UAP1L1	4	N4	2
VAT1	4	N4	2
VEZF1	4	N4	2
ZBTB32	4	N4	2
ZFP64	4	N4	2
ZNF219	4	N4	2
ZNF76	4	N4	2
ZSCAN18	4	N4	2
ANKRD54	6	N6	4
ATP5F1E	6	N6	4
ATP6V1G1	6	N6	4
BTLA	6	N6	4
CCR7	6	N6	4
CD40	6	N6	4
CD53	6	N6	4
CD55	6	N6	4
CD6	6	N6	4
CHCHD2	6	N6	4
CHCHD7	6	N6	4
CHPT1	6	N6	4
CLGN	6	N6	4
CMC4	6	N6	4
CNBP	6	N6	4
COA5	6	N6	4
COX17	6	N6	4
CXCR4	6	N6	4
CXCR5	6	N6	4
DCTN5	6	N6	4
DYNLT3	6	N6	4
EIF1AX	6	N6	4
ELOF1	6	N6	4
EMP3	6	N6	4
ENAH	6	N6	4
FDX2	6	N6	4
FKBP1A	6	N6	4
GGACT	6	N6	4
GNB1	6	N6	4
GNB2	6	N6	4
GTF2A2	6	N6	4
GTF3A	6	N6	4
HHEX	6	N6	4
HIST3H3	6	N6	4
IQCC	6	N6	4
KLF2	6	N6	4
KRCC1	6	N6	4
LEPROTL1	6	N6	4
LPAR5	6	N6	4
MAPK15	6	N6	4
MAPKAPK5	6	N6	4
MBNL1	6	N6	4
METTL7A	6	N6	4
MIEN1	6	N6	4
MT.CO1	6	N6	4
MT.CYB	6	N6	4
MT.ND3	6	N6	4
NPTN	6	N6	4
NRAS	6	N6	4
OSTC	6	N6	4
P2RY10	6	N6	4
PLS1	6	N6	4
PLS3	6	N6	4
POLR2K	6	N6	4
POTEJ	6	N6	4
PPP3R1	6	N6	4
PRC1	6	N6	4
PRPS1	6	N6	4
PTDSS1	6	N6	4
PTGES3	6	N6	4
PTGR2	6	N6	4
PTP4A2	6	N6	4
PYCR3	6	N6	4
RAC1	6	N6	4
RBKS	6	N6	4
RBM4	6	N6	4
RBX1	6	N6	4
RFXAP	6	N6	4
RHOH	6	N6	4
RNF121	6	N6	4
ROMO1	6	N6	4
RPS29	6	N6	4
SDCBP	6	N6	4
SGPP1	6	N6	4
SH3BP1	6	N6	4
SLC25A45	6	N6	4
SLC35E3	6	N6	4
SLC43A2	6	N6	4
SNRPE	6	N6	4
TIMM22	6	N6	4
TM7SF2	6	N6	4
TMED3	6	N6	4
TPK1	6	N6	4
TUBA1C	6	N6	4
TUBB8	6	N6	4
UBE2E1	6	N6	4
UQCRH	6	N6	4
USP12	6	N6	4
ZFAND1	6	N6	4
ZFAND6	6	N6	4
ZFX	6	N6	4
ZNF146	6	N6	4
ZNRF2	6	N6	4
ABHD6	3	N3	9
ABRACL	3	N3	9
ACAD10	3	N3	9
ACAT1	3	N3	9
ACOT2	3	N3	9
ACOT7	3	N3	9
ACP5	3	N3	9
ACYP2	3	N3	9
ADCK5	3	N3	9
AK4	3	N3	9
ALDH4A1	3	N3	9
ANKRD52	3	N3	9
ARID3A	3	N3	9
ATAD3B	3	N3	9
ATPAF1	3	N3	9
BCAT1	3	N3	9
BID	3	N3	9
BLMH	3	N3	9
BOLA3	3	N3	9
BZW2	3	N3	9
C9orf72	3	N3	9
CA8	3	N3	9
CAMKK2	3	N3	9
CARNMT1	3	N3	9
CASP3	3	N3	9
CCDC88A	3	N3	9
CCNE1	3	N3	9
CDK1	3	N3	9
CENPH	3	N3	9
CENPN	3	N3	9
CHAC2	3	N3	9
CIP2A	3	N3	9
CKB	3	N3	9
CNOT8	3	N3	9
COA7	3	N3	9
CORO1C	3	N3	9
CPM	3	N3	9
CRADD	3	N3	9
CTPS1	3	N3	9
CYFIP1	3	N3	9
DOK3	3	N3	9
DPYSL2	3	N3	9
DSTN	3	N3	9
EARS2	3	N3	9
EPS8L2	3	N3	9
EZH2	3	N3	9
FAM129A	3	N3	9
FAM69A	3	N3	9
FANCI	3	N3	9
GABARAPL2	3	N3	9
GAMT	3	N3	9
GAN	3	N3	9
GCSH	3	N3	9
GINS2	3	N3	9
GINS4	3	N3	9
GNPNAT1	3	N3	9
GSN	3	N3	9
HK2	3	N3	9
HOMER1	3	N3	9
HSPE1	3	N3	9
ICMT	3	N3	9
IL4I1	3	N3	9
ITGA4	3	N3	9
ITGB7	3	N3	9
JPT1	3	N3	9
KBTBD8	3	N3	9
KIF15	3	N3	9
KNTC1	3	N3	9
KYNU	3	N3	9
LAP3	3	N3	9
LAT2	3	N3	9
LDHA	3	N3	9
LDHB	3	N3	9
LILRB4	3	N3	9
LRMP	3	N3	9
MAP2	3	N3	9
MCM4	3	N3	9
MCM6	3	N3	9
MCM7	3	N3	9
METTL8	3	N3	9
MIF4GD	3	N3	9
MKI67	3	N3	9
MMAB	3	N3	9
MPEG1	3	N3	9
MRPL52	3	N3	9
MTHFD1L	3	N3	9
MTHFD2	3	N3	9
MVK	3	N3	9
MX1	3	N3	9
MYH10	3	N3	9
MYO6	3	N3	9
NCAPD2	3	N3	9
NCAPG	3	N3	9
NLRC4	3	N3	9
NME1	3	N3	9
NPM3	3	N3	9
NT5DC3	3	N3	9
NUDT1	3	N3	9
PAICS	3	N3	9
PAK1	3	N3	9
PFKFB2	3	N3	9
PFKM	3	N3	9
PIGR	3	N3	9
PLEK	3	N3	9
PNP	3	N3	9
POMK	3	N3	9
PPP2R5B	3	N3	9
PSMB5	3	N3	9
PSMB6	3	N3	9
PSMB7	3	N3	9
PTGR1	3	N3	9
PTPRJ	3	N3	9
PTRHD1	3	N3	9
PXMP2	3	N3	9
RAB29	3	N3	9
RHOC	3	N3	9
RILPL2	3	N3	9
RPF2	3	N3	9
RRM1	3	N3	9
RWDD2B	3	N3	9
SLC25A19	3	N3	9
SLC25A22	3	N3	9
SMC4	3	N3	9
SRM	3	N3	9
STAT2	3	N3	9
STMN1	3	N3	9
STMN2	3	N3	9
TARBP1	3	N3	9
TCP11L2	3	N3	9
TMEM19	3	N3	9
TMEM231	3	N3	9
TP53I11	3	N3	9
TRAF4	3	N3	9
TRAPPC6A	3	N3	9
TRIM72	3	N3	9
TRIP13	3	N3	9
TRMU	3	N3	9
UBE2H	3	N3	9
WDR4	3	N3	9
ZWILCH	3	N3	9
ABI3	5	N5	10
ADD1	5	N5	10
ADD3	5	N5	10
ADK	5	N5	10
AKAP5	5	N5	10
AKT3	5	N5	10
ANXA6	5	N5	10
APBB1IP	5	N5	10
ARID5B	5	N5	10
BTN3A3	5	N5	10
C8orf37	5	N5	10
CCDC106	5	N5	10
CD19	5	N5	10
CD200	5	N5	10
CD37	5	N5	10
CD48	5	N5	10
CD81	5	N5	10
CD99	5	N5	10
CDC42SE2	5	N5	10
CHRAC1	5	N5	10
CLEC17A	5	N5	10
CLIC4	5	N5	10
CNTNAP1	5	N5	10
COBLL1	5	N5	10
CR2	5	N5	10
CRTC3	5	N5	10
CRYL1	5	N5	10
DDHD2	5	N5	10
DLGAP4	5	N5	10
DTD1	5	N5	10
DUSP22	5	N5	10
ELMO2	5	N5	10
ENTPD1	5	N5	10
F11R	5	N5	10
FAM107B	5	N5	10
FBXO2	5	N5	10
FCER2	5	N5	10
FCRL1	5	N5	10
FCRL2	5	N5	10
FCRL3	5	N5	10
FCRL5	5	N5	10
FTH1	5	N5	10
FTL	5	N5	10
FUT8	5	N5	10
GRK3	5	N5	10
HIVEP2	5	N5	10
HVCN1	5	N5	10
ICAM2	5	N5	10
IL4R	5	N5	10
ITPR1	5	N5	10
KLHL14	5	N5	10
KYAT1	5	N5	10
LCK	5	N5	10
LDLRAP1	5	N5	10
LHFPL2	5	N5	10
MAPK13	5	N5	10
MARCKSL1	5	N5	10
MEF2C	5	N5	10
MTSS1	5	N5	10
MYL9	5	N5	10
NCK2	5	N5	10
NUGGC	5	N5	10
OSBPL10	5	N5	10
PAIP2B	5	N5	10
PECAM1	5	N5	10
PLCG1	5	N5	10
PLEKHA1	5	N5	10
PLEKHF2	5	N5	10
PLEKHO1	5	N5	10
PSIP1	5	N5	10
PTPN7	5	N5	10
RASA2	5	N5	10
RIN3	5	N5	10
RPS6KA5	5	N5	10
